"HolderAddress","Balance","PendingBalanceUpdate"
"0xd3cced049ce226a8bbd2890adb9f9d90584eecc0","2247519.13419806","No"
"0x306e1009d8e17a2425aadedbd5f645e4083eb71a","18364006.6079125","No"
"0xd2d8dbd7d936cc3f27906f8bbddacd7b6139a8b4","83.8629530065948","No"
"0xe6f193fbf0c5e02e433c91f206bef0bf422ff897","83.847800760223","No"
"0xa6364afb914792fe81e0810d5f471be172079f7b","838.317472033851","No"
"0x1ceb54571fb1c513e5f620641aa85bd796d56194","0.0191655057035145","No"
"0xf72305593e3adf858b14256ea057aeca37bd863d","0.931293660980355","No"
"0x1544acc46d60ecd82149e942e08798ae99400334","6.3470347808911","No"
"0x919de5aefa1b7a970574979162aa284040e0c3cb","18.8315984987444","No"
"0x4bb252cb0ad24d64d8c1079d244d943812ad6a5b","0.556476512603986","No"
"0xc5bcbe93a8679e43069f2708925724d40890e506","1.74653708787761","No"
"0xd1867987db0f4d1dbce7870e2895209c7a34b1c1","86.5837355508273","No"
"0x3c3f85b71f63fff435525bab56705ec6fe4fd30e","450.0000135","No"
"0x8f2d17b2103a9bf5fd37332f63816cf7865c8416","1.19648727185655","No"
"0x16cc37e41bbb1c9361f4a881ad4f9d584fd8e8fb","1.50362596043399","No"
"0x3d14c1f46cfe1b0602fd12ee04927ae58ac73c02","9.17265988534947","No"
"0x1cb89be22732b2404cd885542c794e5c611f10e4","0.539361294631656","No"
"0x779dba1c9d6cf344d17a09822b66122ff21c0ac4","54.3860574022132","No"
"0x5e7449ca91b9127264a4464fc5092ba9d7c5b666","0.616963578197311","No"
"0x8bc43a1810a178fb28e91bca06d437c74df33250","0.00215394243412044","No"
"0xa4ae9db0e77ffbf1b0ffce2748d149389db8fac6","1.25624945063807","No"
"0x2e0659afc1f3cd1a24fb7fae2a92e51c5abf9e89","2.90998633652785","No"
"0x823c27a69c3de1c7a5ae4dd57063152484e07b77","3.38725136986368","No"
"0xc5b42920deefa5821fd2cb9eb70ed43568aa0e76","1.04191901723461","No"
"0x0b88e1f39dbca0b961054031b4851fe82cddd1dc","30.109160947848","No"
"0xe77f08302d477366fb33fc390d84e1ee305524f6","21.2865757181579","No"
"0xe53a02848392c8071636815a2d2adea58ded8ab4","0.53489417074384","No"
"0x6a8c1bee09bacebb4dc2a1aa0421232a6b7ee1a2","5.56961410931976","No"
"0x90ff3e16baba2bc325cf0f9664f139c2075e0119","1.71726679311571","No"
"0xdc8304ddcb306d66ff0b64783741f85b1826a657","0.000111029412630669","No"
"0x9a314113807c9a49377cc48393fb4e85578b016e","3.93791274610499","No"
"0xe5c56c83d5cf85c00a53400a574be2a2d595918a","1.30014446200751","No"
"0xa0d9361c7179c88bf707fd6b606a1855fe57559a","2.09229252192079","No"
"0x838e98834a014d7b83695c94326f9c2d7d63b7b9","0.912211608185036","No"
"0x1e89a88a567888fac008003274c08504bdb6af97","0.773356078214609","No"
"0xe23611ff64e7c70a798e7d1700958a052fa9c2ff","0.948880927753752","No"
"0x93670198bc99a986fece8c4ce38499ded0bd203d","11.2685728875925","No"
"0x38137bffe4285b0df8c34edeed89c406e15b1e6a","13.4807708373166","No"
"0xf4da29c7530489f749bcaa469ec51e37bc3b02f6","0.55735193995339","No"
"0xc3be35f23cfdf3e718852cd6d8c3056f64c3e2d2","1.45187249062012","No"
"0x724025c96df7a285e4d5c6cf4adb2c3ecbbf2879","4.66986266581371","No"
"0x4f5146ca191e5ca0aebe6fdf92c124804efe40e5","0.20445681759728","No"
"0x2b2dc226698e9e56f56a019a43f27d0d01d7ce34","0.241105742192912","No"
"0x63d8363c548683d648edb28f78efbc0676c66ddb","17.5398568683989","No"
"0x5a5049b8fffcb375ffe2e4552fc7df09d63b4fb0","0.0619804478868289","No"
"0x145be0f00b9dd0dd35d14126a0c99e6ab4bb541e","1.08680930007262","No"
"0xbdefcc579b2bc6b8a42bde4fc61e73cd3cfb521f","0.0886524680204859","No"
"0x0ed29c4c49f3e0fd2d9baf7317e3d228b540a1f5","2.15502180207591","No"
"0x7c6fda8be189df632507be4203b351811361f366","1.63192641528289","No"
"0x9e51729ebd0b350c1ebd1567ee6c87d1e769d7e7","0.882252146671138","No"
"0x441e11bfdd72453e92e64f406d267b936cb9ec8a","0.590442527229481","No"
"0x5bd1579c36bedf676bfc92f8a2f82427b8cfef2e","0.277573984838981","No"
"0xf12fc580d57c11a0fad6771f633d84d6c723879c","29.9072268594001","No"
"0x923079b415e63b720c39b78afca34eb3f8fba68c","0.480619256104099","No"
"0x2f45c12edac60b6b475f590a22c586500cab39f6","0.819055859904946","No"
"0x1873690f624c64136bfcfe63d0e71302e74ca6c9","2.30470047678701","No"
"0x195560a1e9f24a38b4068620ab1936ab1bf96ce3","5.61528568539931","No"
"0x51d16cca71b726a6fffd26054055df7bea6a9cdb","1949.33063266349","No"
"0x7d3924c93cbff44209446aba6459ba1c503d6398","6.69606844171019","No"
"0x426240ead0592e195cf492d1c270f893fbadd01c","0.468195718024825","No"
"0x1aa1d648e67ced1f54c555e5aa62a126033be783","2.20698941118737","No"
"0x4e5f5704871be7bb717f23a6a54ebb81d94f03ee","0.343834888372214","No"
